",""Smp"",""Avg"",""Max"",""TMx"",""WVc"",""WVc"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Smp"",""Tot"",""Avg"",""Max"",""TMx"",""Tot"",""Avg"",""Avg"",""Max"",""Min"",""Tot"",""Avg"",""Avg"",""Avg"",""ETXs"",""Rso"",""Smp"",""Smp"",""Smp"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Min"",""TMn"",""Max"",""TMx"",""Avg"",""Smp"",""Avg"",""Tot"""
"2026-02-19 00:00:00,""UKZN_SchoolMet_J3992"",1.1,5.5,""2026-02-18 12:43:00"",37.9,71.7,16.1,""2026-02-18 11:08:00"",24.6,""2026-02-18 12:59:00"",19.9,79.1,""2026-02-18 11:08:00"",100.0,""2026-02-18 18:54:00"",99.2,6.2,164.2,1398.4,""2026-02-18 11:21:00"",7.6,18.7,19.0,24.6,16.1,2.4,2.3,2.2,0.2,1.4,0.7,""18935"",""CPU:UKZN_J3992_V1R0_20260218.CR300"",""60469"",13.2,""2026-02-18 22:46:00"",13.6,""2026-02-18 17:24:00"",13.3,21.4,""2026-02-18 23:59:00"",37.8,""2026-02-18 13:05:00"",28.0,""OK ON POWER UP"",144.9,46210.0"
"2026-02-20 00:00:00,""UKZN_SchoolMet_J3992"",1.6,10.7,""2026-02-19 16:10:00"",295.3,67.5,15.6,""2026-02-19 16:21:00"",30.1,""2026-02-19 13:42:00"",20.6,46.9,""2026-02-19 14:11:00"",100.0,""2026-02-19 00:57:00"",89.2,24.8,255.6,943.1,""2026-02-19 14:46:00"",22.1,17.1,18.2,32.0,15.6,6.8,2.5,2.0,0.6,4.0,3.6,""18935"",""CPU:UKZN_J3992_V1R0_20260218.CR300"",""60469"",13.1,""2026-02-19 03:22:00"",13.7,""2026-02-19 07:26:00"",13.3,19.4,""2026-02-19 05:07:00"",43.3,""2026-02-19 14:00:00"",28.2,""OK ON POWER UP"",149.5,86400.0"
"2026-02-21 00:00:00,""UKZN_SchoolMet_J3992"",1.4,7.7,""2026-02-20 17:23:00"",8.3,77.5,15.3,""2026-02-20 02:28:00"",30.7,""2026-02-20 14:02:00"",21.6,53.3,""2026-02-20 14:19:00"",100.0,""2026-02-20 18:34:00"",97.0,2.2,245.5,907.9,""2026-02-20 12:11:00"",21.2,18.9,19.7,33.8,15.3,7.5,2.7,2.2,0.5,4.0,3.6,""18935"",""CPU:UKZN_J3992_V1R0_20260218.CR300"",""60469"",13.1,""2026-02-20 04:13:00"",13.7,""2026-02-20 07:27:00"",13.3,18.6,""2026-02-20 05:08:00"",43.5,""2026-02-20 14:33:00"",29.3,""OK ON POWER UP"",145.7,86400.0"
"2026-02-22 00:00:00,""UKZN_SchoolMet_J3992"",0.9,7.0,""2026-02-21 14:16:00"",207.2,75.7,16.2,""2026-02-21 04:34:00"",25.5,""2026-02-21 12:09:00"",19.1,67.6,""2026-02-21 10:53:00"",100.0,""2026-02-21 02:49:00"",100.0,2.6,162.2,1132.7,""2026-02-21 10:56:00"",14.0,18.1,18.4,25.5,16.2,4.3,2.2,2.1,0.2,2.6,3.6,""18935"",""CPU:UKZN_J3992_V1R0_20260218.CR300"",""60469"",13.1,""2026-02-21 03:28:00"",13.8,""2026-02-21 14:36:00"",13.3,20.2,""2026-02-21 05:10:00"",41.1,""2026-02-21 11:05:00"",27.0,""OK ON POWER UP"",148.1,86400.0"
"2026-02-23 00:00:00,""UKZN_SchoolMet_J3992"",1.3,7.7,""2026-02-22 14:57:00"",68.8,59.8,17.2,""2026-02-22 01:49:00"",25.4,""2026-02-22 13:23:00"",19.4,75.8,""2026-02-22 13:25:00"",100.0,""2026-02-22 00:00:00"",97.6,2.8,192.9,1397.1,""2026-02-22 11:37:00"",16.7,18.8,19.0,25.4,17.2,4.7,2.3,2.2,0.1,3.0,3.6,""18935"",""CPU:UKZN_J3992_V1R0_20260218.CR300"",""60469"",13.1,""2026-02-22 02:15:00"",13.7,""2026-02-22 07:53:00"",13.3,21.6,""2026-02-22 01:42:00"",39.9,""2026-02-22 13:36:00"",27.6,""OK ON POWER UP"",141.9,86400.0"
"2026-02-24 00:00:00,""UKZN_SchoolMet_J3992"",1.5,9.2,""2026-02-23 10:48:00"",10.2,65.0,17.9,""2026-02-23 06:04:00"",24.2,""2026-02-23 10:32:00"",20.3,79.0,""2026-02-23 10:34:00"",100.0,""2026-02-23 17:51:00"",99.6,0.2,145.2,1036.0,""2026-02-23 10:11:00"",12.5,19.2,19.5,24.2,17.9,3.5,2.4,2.2,0.2,2.3,3.6,""18935"",""CPU:UKZN_J3992_V1R0_20260218.CR300"",""60469"",13.1,""2026-02-23 05:40:00"",13.6,""2026-02-23 07:18:00"",13.3,22.8,""2026-02-23 05:42:00"",37.6,""2026-02-23 10:31:00"",28.3,""OK ON POWER UP"",142.2,86400.0"
"2026-02-25 00:00:00,""UKZN_SchoolMet_J3992"",2.1,8.4,""2026-02-24 04:50:00"",310.8,73.0,17.1,""2026-02-24 23:59:00"",27.1,""2026-02-24 13:54:00"",20.8,69.7,""2026-02-24 13:53:00"",100.0,""2026-02-24 00:23:00"",100.0,0.0,173.3,1397.2,""2026-02-24 11:59:00"",15.0,19.2,19.6,29.4,17.1,3.9,2.5,2.2,0.3,2.6,3.5,""18935"",""CPU:UKZN_J3992_V1R0_20260218.CR300"",""60469"",13.1,""2026-02-24 00:35:00"",13.8,""2026-02-24 10:22:00"",13.3,21.2,""2026-02-24 23:50:00"",41.4,""2026-02-24 14:43:00"",28.4,""OK ON POWER UP"",147.2,86400.0"
"2026-02-26 00:00:00,""UKZN_SchoolMet_J3992"",1.3,7.0,""2026-02-25 12:54:00"",88.0,65.8,14.9,""2026-02-25 06:08:00"",25.2,""2026-02-25 12:52:00"",19.5,68.1,""2026-02-25 12:54:00"",100.0,""2026-02-25 00:00:00"",100.0,0.0,230.3,1318.5,""2026-02-25 12:43:00"",19.9,17.8,18.3,25.2,14.9,6.4,2.3,2.0,0.3,3.6,3.6,""18935"",""CPU:UKZN_J3992_V1R0_20260218.CR300"",""60469"",13.1,""2026-02-25 04:17:00"",13.7,""2026-02-25 07:27:00"",13.3,18.4,""2026-02-25 06:15:00"",38.2,""2026-02-25 12:55:00"",27.2,""OK ON POWER UP"",150.5,86400.0"
"2026-02-27 00:00:00,""UKZN_SchoolMet_J3992"",1.0,7.0,""2026-02-26 17:21:00"",39.3,70.3,15.6,""2026-02-26 05:58:00"",27.8,""2026-02-26 15:48:00"",20.7,62.4,""2026-02-26 14:02:00"",100.0,""2026-02-26 00:00:00"",97.4,0.0,229.1,1185.6,""2026-02-26 12:29:00"",19.8,18.9,19.4,30.0,15.6,5.2,2.5,2.2,0.3,3.7,3.5,""18935"",""CPU:UKZN_J3992_V1R0_20260218.CR300"",""60469"",13.1,""2026-02-26 06:11:00"",13.7,""2026-02-26 07:29:00"",13.3,19.5,""2026-02-26 06:17:00"",41.8,""2026-02-26 16:12:00"",29.1,""OK ON POWER UP"",151.0,86400.0"
"2026-02-28 00:00:00,""UKZN_SchoolMet_J3992"",1.4,8.4,""2026-02-27 11:23:00"",129.0,58.0,16.2,""2026-02-27 23:36:00"",19.0,""2026-02-27 00:00:00"",17.3,93.3,""2026-02-27 10:42:00"",100.0,""2026-02-27 12:50:00"",97.8,3.4,108.1,1264.0,""2026-02-27 10:33:00"",9.3,17.0,17.1,19.0,16.2,2.4,2.0,1.9,0.0,1.6,3.5,""18935"",""CPU:UKZN_J3992_V1R0_20260218.CR300"",""60469"",13.1,""2026-02-27 05:53:00"",13.8,""2026-02-27 13:35:00"",13.3,20.2,""2026-02-27 23:59:00"",32.7,""2026-02-27 10:51:00"",24.2,""OK ON POWER UP"",154.0,86400.0"
